SR Tendulkar (India),1989-2012,463,452,41,18426,200*,44.83,21367,86.23,49,96,20,ODI,Batting
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,ODI,Batting
RT Ponting (Aus/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,ODI,Batting
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,ODI,Batting
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,ODI,Batting
Inzamam-ul-Haq (Asia/Pak),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,ODI,Batting
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,ODI,Batting
SC Ganguly (Asia/India),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,ODI,Batting
R Dravid (Asia/ICC/India),1996-2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13,ODI,Batting
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,ODI,Batting
TM Dilshan (SL),1999-2015,319,293,41,10007,161*,39.71,11649,85.9,22,45,11,ODI,Batting
Mohammad Yousuf (Asia/Pak),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,ODI,Batting
AC Gilchrist (Aus/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,ODI,Batting
M Azharuddin (India),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,ODI,Batting
PA de Silva (SL),1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,ODI,Batting
CH Gayle (ICC/WI),1999-2015,269,264,17,9221,215,37.33,10834,85.11,22,47,23,ODI,Batting
Saeed Anwar (Pak),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,ODI,Batting
MS Dhoni (Asia/India),2004-2015,268,234,67,8790,183*,52.63,9867,89.08,9,60,7,ODI,Batting
