BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,T20,Batting
JP Duminy (SA),2007-2015,63,58,18,1528,96*,38.2,1247,122.53,0,8,6,114,51,T20,Batting
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,T20,Batting
TM Dilshan (SL),2006-2015,64,63,10,1482,104*,27.96,1239,119.61,1,9,8,174,27,T20,Batting
DA Warner (Aus),2009-2015,53,53,3,1448,90*,28.96,1046,138.43,0,11,5,137,66,T20,Batting
MJ Guptill (NZ),2009-2015,52,50,6,1414,101*,32.13,1146,123.38,1,6,2,129,53,T20,Batting
CH Gayle (WI),2006-2015,45,43,3,1406,117,35.15,986,142.59,1,13,2,122,87,T20,Batting
Mohammad Hafeez (Pak),2006-2015,65,63,3,1399,86,23.31,1216,115.04,0,7,5,148,33,T20,Batting
Umar Akmal (Pak),2009-2015,65,62,11,1395,94,27.35,1130,123.45,0,6,7,106,42,T20,Batting
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,T20,Batting
EJG Morgan (Eng),2009-2015,52,51,10,1225,85*,29.87,914,134.02,0,7,1,105,51,T20,Batting
Shahid Afridi (Pak),2006-2015,84,78,12,1222,54*,18.51,830,147.22,0,4,6,92,56,T20,Batting
KP Pietersen (Eng),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,T20,Batting
AB de Villiers (SA),2006-2015,63,60,9,1167,79*,22.88,927,125.88,0,6,4,104,32,T20,Batting
SR Watson (Aus),2006-2015,49,47,3,1164,81,26.45,808,144.05,0,10,3,90,69,T20,Batting
LRPL Taylor (NZ),2006-2015,64,58,10,1137,63,23.68,953,119.3,0,5,4,74,44,T20,Batting
AD Hales (Eng),2011-2015,35,35,5,1092,116*,36.4,797,137.01,1,7,3,114,35,T20,Batting
Shoaib Malik (Pak),2006-2015,65,61,14,1077,57*,22.91,1002,107.48,0,3,1,86,19,T20,Batting
V Kohli (India),2010-2015,30,28,5,1016,78*,44.17,766,132.63,0,9,0,106,23,T20,Batting
H Masakadza (Zim),2006-2015,38,38,1,1002,79,27.08,881,113.73,0,7,0,90,30,T20,Batting
CL White (Aus),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44,T20,Batting
SK Raina (India),2006-2015,46,40,9,983,101,31.7,731,134.47,1,3,1,89,36,T20,Batting
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,T20,Batting
Yuvraj Singh (India),2007-2014,40,37,6,968,77*,31.22,669,144.69,0,8,0,61,63,T20,Batting
MN Samuels (WI),2007-2015,38,36,5,941,85*,30.35,764,123.16,0,8,0,75,46,T20,Batting
DJ Bravo (WI),2006-2015,53,48,11,936,66*,25.29,786,119.08,0,3,4,55,41,T20,Batting
G Gambhir (India),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,T20,Batting
Kamran Akmal (Pak),2006-2014,54,49,6,897,73,20.86,745,120.4,0,5,6,90,27,T20,Batting
Ahmed Shehzad (Pak),2009-2015,35,35,2,876,111*,26.54,761,115.11,1,4,2,95,21,T20,Batting
MS Dhoni (India),2006-2015,52,47,21,874,48*,33.61,750,116.53,0,0,1,59,25,T20,Batting
RG Sharma (India),2007-2015,44,37,11,867,106,33.34,676,128.25,1,7,1,75,32,T20,Batting
Shakib Al Hasan (Ban),2006-2015,38,38,3,843,84,24.08,672,125.44,0,5,4,88,21,T20,Batting
Mohammad Shahzad (Afg),2010-2015,31,31,1,834,77,27.8,640,130.31,0,7,3,88,28,T20,Batting
F du Plessis (SA),2012-2015,26,26,5,825,119,39.28,612,134.8,1,6,0,78,24,T20,Batting
Misbah-ul-Haq (Pak),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26,T20,Batting
LMP Simmons (WI),2007-2015,34,33,3,761,77,25.36,668,113.92,0,4,4,73,26,T20,Batting
LJ Wright (Eng),2007-2014,51,45,5,759,99*,18.97,554,137,0,4,9,68,31,T20,Batting
AJ Finch (Aus),2011-2014,22,22,3,756,156,39.78,496,152.41,1,5,0,83,32,T20,Batting
DJ Hussey (Aus),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34,T20,Batting
WTS Porterfield (Ire),2008-2015,41,40,6,734,57*,21.58,674,108.9,0,2,4,86,14,T20,Batting
Tamim Iqbal (Ban),2007-2015,39,39,3,734,88*,20.38,693,105.91,0,3,3,89,8,T20,Batting
MEK Hussey (Aus),2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25,T20,Batting
RS Bopara (Eng),2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17,T20,Batting
HM Amla (SA),2009-2015,30,30,2,700,56,25,571,122.59,0,1,1,81,10,T20,Batting
AD Mathews (SL),2009-2015,55,41,13,697,58,24.89,593,117.53,0,2,0,45,18,T20,Batting
JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20,T20,Batting
PR Stirling (Ire),2009-2015,30,30,4,666,79,25.61,520,128.07,0,5,5,86,16,T20,Batting
KA Pollard (WI),2008-2015,43,37,9,633,63*,22.6,445,142.24,0,2,1,48,34,T20,Batting
ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23,T20,Batting
DA Miller (SA),2010-2015,37,32,11,612,47,29.14,479,127.76,0,0,0,43,20,T20,Batting
Salman Butt (Pak),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10,T20,Batting
BRM Taylor (Zim),2006-2014,26,26,5,594,75*,28.28,480,123.75,0,5,4,52,17,T20,Batting
E Chigumbura (Zim),2006-2015,33,32,5,590,54,21.85,383,154.04,0,2,2,48,32,T20,Batting
KJ Coetzer (Scot),2008-2015,28,26,1,587,62,23.48,535,109.71,0,1,0,59,17,T20,Batting
MR Swart (Neth),2012-2015,24,23,2,586,89,27.9,509,115.12,0,4,1,50,14,T20,Batting
KS Williamson (NZ),2011-2015,25,23,3,584,57,29.2,456,128.07,0,2,1,73,7,T20,Batting
PD Collingwood (Eng),2005-2011,35,33,2,583,79,18.8,459,127.01,0,3,3,37,24,T20,Batting
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,T20,Batting
SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25,T20,Batting
JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39,T20,Batting
Mushfiqur Rahim (Ban),2006-2015,41,35,6,558,50,19.24,479,116.49,0,1,1,44,17,T20,Batting
GC Wilson (Ire),2008-2015,38,32,4,557,41*,19.89,614,90.71,0,0,3,49,5,T20,Batting
MJ Lumb (Eng),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21,T20,Batting
SJ Myburgh (Neth),2012-2015,22,22,2,545,71*,27.25,442,123.3,0,5,4,56,21,T20,Batting
MDKJ Perera (SL),2013-2015,20,20,0,544,84,27.2,407,133.66,0,5,0,52,22,T20,Batting
PW Borren (Neth),2008-2015,35,31,5,527,57,20.26,435,121.14,0,1,1,48,17,T20,Batting
JC Buttler (Eng),2011-2015,38,32,7,527,67,21.08,395,133.41,0,2,2,42,20,T20,Batting
C Kieswetter (Eng),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23,T20,Batting
W Barresi (Neth),2012-2015,27,27,4,518,75*,22.52,418,123.92,0,3,3,46,16,T20,Batting
Q de Kock (SA),2012-2015,22,22,4,513,48*,28.5,422,121.56,0,0,2,57,15,T20,Batting
DJG Sammy (WI),2007-2015,58,45,15,511,42*,17.03,334,152.99,0,0,2,41,27,T20,Batting
KJ O'Brien (Ire),2008-2015,45,39,8,508,42*,16.38,419,121.24,0,0,6,38,21,T20,Batting
CO Obuya (Kenya),2007-2013,26,24,6,507,75*,28.16,463,109.5,0,3,3,37,10,T20,Batting
Imran Nazir (Pak),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22,T20,Batting
CJ Chibhabha (Zim),2006-2015,23,22,0,490,67,22.27,447,109.61,0,4,1,56,11,T20,Batting
MJ Clarke (Aus),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,T20,Batting
JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.6,339,139.82,0,2,3,38,22,T20,Batting
GJ Bailey (Aus),2012-2014,28,25,7,470,63,26.11,334,140.71,0,2,1,37,20,T20,Batting
RD Berrington (Scot),2008-2015,29,24,3,469,100,22.33,394,119.03,1,0,5,53,9,T20,Batting
NLTC Perera (SL),2010-2015,40,33,17,469,49,29.31,306,153.26,0,0,3,36,23,T20,Batting
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23,T20,Batting
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18,T20,Batting
