Saeed Ajmal (Pak),2009-2015,64,63,238.2,2,1516,85,Apr-19,17.83,6.36,16.8,4,0,T20,Bowling
Shahid Afridi (Pak),2006-2015,84,83,305.2,3,2017,83,4-Nov,24.3,6.6,22,3,0,T20,Bowling
Umar Gul (Pak),2007-2015,58,58,194.3,2,1387,83,5-Jun,16.71,7.13,14,4,2,T20,Bowling
SL Malinga (SL),2006-2015,59,59,205.5,0,1521,70,May-31,21.72,7.38,17.6,0,1,T20,Bowling
BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6-Aug,14.42,6.45,13.4,3,2,T20,Bowling
SCJ Broad (Eng),2006-2014,56,55,195.3,2,1491,65,Apr-24,22.93,7.62,18,1,0,T20,Bowling
NL McCullum (NZ),2007-2015,61,57,182.1,0,1257,55,Apr-16,22.85,6.9,19.8,2,0,T20,Bowling
DW Steyn (SA),2007-2014,38,38,136.1,2,879,55,4-Sep,15.98,6.45,14.8,2,0,T20,Bowling
GP Swann (Eng),2008-2012,39,38,135,4,859,51,Mar-13,16.84,6.36,15.8,0,0,T20,Bowling
KMDN Kulasekara (SL),2008-2014,41,41,143.1,5,1040,46,Apr-32,22.6,7.26,18.6,1,0,T20,Bowling
Mohammad Hafeez (Pak),2006-2015,65,57,167.2,1,1120,46,4-Oct,24.34,6.69,21.8,1,0,T20,Bowling
TG Southee (NZ),2008-2015,38,37,137,2,1182,46,May-18,25.69,8.62,17.8,0,1,T20,Bowling
M Morkel (SA),2007-2015,39,39,138.4,3,1022,45,Apr-17,22.71,7.37,18.4,2,0,T20,Bowling
Shakib Al Hasan (Ban),2006-2015,38,38,140.1,1,910,45,Apr-21,20.22,6.49,18.6,2,0,T20,Bowling
Abdur Razzak (Ban),2006-2014,34,33,121.4,4,838,44,Apr-16,19.04,6.88,16.5,1,0,T20,Bowling
KD Mills (NZ),2005-2014,42,42,149.3,1,1228,43,Mar-26,28.55,8.21,20.8,0,0,T20,Bowling
DJG Sammy (WI),2007-2015,58,53,139.4,0,994,43,May-26,23.11,7.11,19.4,1,1,T20,Bowling
MAA Jamil (Neth),2012-2015,24,23,79.5,1,579,42,May-19,13.78,7.25,11.4,1,1,T20,Bowling
Sohail Tanvir (Pak),2007-2015,47,47,163.3,2,1158,42,3-Dec,27.57,7.08,23.3,0,0,T20,Bowling
Mudassar Bukhari (Neth),2008-2015,34,32,108.2,2,737,39,Apr-28,18.89,6.8,16.6,2,0,T20,Bowling
JW Dernbach (Eng),2011-2014,34,33,117,1,1020,39,Apr-22,26.15,8.71,18,1,0,T20,Bowling
SR Watson (Aus),2006-2015,49,41,128,2,991,39,Apr-15,25.41,7.74,19.6,1,0,T20,Bowling
GH Dockrell (Ire),2010-2015,33,29,99.4,1,625,38,Apr-20,16.44,6.27,15.7,1,0,T20,Bowling
MG Johnson (Aus),2007-2013,30,30,109.2,2,797,38,Mar-15,20.97,7.28,17.2,0,0,T20,Bowling
SP Narine (WI),2012-2014,32,31,116.4,1,666,38,4-Dec,17.52,5.7,18.4,1,0,T20,Bowling
WD Parnell (SA),2009-2015,35,34,110.5,3,891,38,Apr-13,23.44,8.03,17.5,1,0,T20,Bowling
DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,Apr-20,19.68,5.7,20.7,1,0,T20,Bowling
J Botha (SA),2006-2012,40,39,129,1,823,37,Mar-16,22.24,6.37,20.9,0,0,T20,Bowling
KJ O'Brien (Ire),2008-2015,45,32,97.3,0,645,37,3-Aug,17.43,6.61,15.8,0,0,T20,Bowling
DJ Bravo (WI),2006-2015,53,44,127.4,0,1077,36,Apr-38,29.91,8.43,21.2,1,0,T20,Bowling
AR Cusack (Ire),2008-2015,37,33,101,3,714,35,4-Nov,20.4,7.06,17.3,3,0,T20,Bowling
DT Johnston (Ire),2008-2013,30,28,99,5,636,32,Apr-22,19.87,6.42,18.5,1,0,T20,Bowling
AD Mathews (SL),2009-2015,55,45,127.3,4,863,32,Mar-16,26.96,6.76,23.9,0,0,T20,Bowling
S Badree (WI),2012-2014,22,22,86,2,464,31,Apr-15,14.96,5.39,16.6,1,0,T20,Bowling
R Ashwin (India),2010-2015,28,28,108,1,782,29,4-Nov,26.96,7.24,22.3,1,0,T20,Bowling
Hamid Hassan (Afg),2010-2015,18,18,66.1,2,438,29,Apr-22,15.1,6.61,13.6,1,0,T20,Bowling
RM Haq (Scot),2007-2013,21,20,75,1,472,28,Mar-20,16.85,6.29,16,0,0,T20,Bowling
B Lee (Aus),2005-2012,25,25,90.5,0,714,28,Mar-23,25.5,7.86,19.4,0,0,T20,Bowling
Mohammad Nabi (Afg),2010-2015,31,31,111,3,769,28,Mar-23,27.46,6.92,23.7,0,0,T20,Bowling
DP Nannes (Aus/Neth),2009-2010,17,16,61,2,459,28,Apr-18,16.39,7.52,13,1,0,T20,Bowling
IK Pathan (India),2006-2012,24,23,77,1,618,28,Mar-16,22.07,8.02,16.5,0,0,T20,Bowling
SW Tait (Aus),2007-2011,19,19,71.4,2,498,28,Mar-13,17.78,6.94,15.3,0,0,T20,Bowling
HS Baidwan (Can),2008-2013,17,17,53.5,1,411,27,Apr-19,15.22,7.63,11.9,1,0,T20,Bowling
ST Finn (Eng),2011-2015,21,21,80,0,583,27,Mar-16,21.59,7.28,17.7,0,0,T20,Bowling
Imran Tahir (SA),2013-2015,18,18,66,0,426,27,Apr-21,15.77,6.45,14.6,1,0,T20,Bowling
Mashrafe Mortaza (Ban),2006-2015,31,31,114.3,1,946,26,Apr-19,36.38,8.26,26.4,1,0,T20,Bowling
JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3-Dec,33.23,8.01,24.8,0,0,T20,Bowling
NLTC Perera (SL),2010-2015,40,30,79.4,0,661,26,Feb-19,25.42,8.29,18.3,0,0,T20,Bowling
R Rampaul (WI),2007-2014,22,22,78.5,1,685,26,Mar-16,26.34,8.68,18.1,0,0,T20,Bowling
PM Seelaar (Neth),2008-2015,32,29,83,2,539,26,Apr-19,20.73,6.49,19.1,1,0,T20,Bowling
MA Starc (Aus),2012-2015,20,20,75.3,1,508,26,3-Nov,19.53,6.72,17.4,0,0,T20,Bowling
P Utseya (Zim),2006-2015,35,35,124.5,2,858,26,Mar-25,33,6.87,28.8,0,0,T20,Bowling
SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,Mar-18,21.72,7,18.6,0,0,T20,Bowling
TT Bresnan (Eng),2006-2014,34,34,110.3,1,887,24,3-Oct,36.95,8.02,27.6,0,0,T20,Bowling
