M Muralitharan (ICC/SL),1992-2010,133,230,44039,18180,800,Sep-51,16/220,22.72,2.47,55,67,22,Test,Bowling
SK Warne (Aus),1992-2007,145,273,40705,17995,708,Aug-71,12/128,25.41,2.65,57.4,37,10,Test,Bowling
A Kumble (India),1990-2008,132,236,40850,18355,619,Oct-74,14/149,29.65,2.69,65.9,35,8,Test,Bowling
GD McGrath (Aus),1993-2007,124,243,29248,12186,563,Aug-24,Oct-27,21.64,2.49,51.9,29,3,Test,Bowling
CA Walsh (WI),1984-2001,132,242,30019,12688,519,Jul-37,13/55,24.44,2.53,57.8,22,3,Test,Bowling
N Kapil Dev (India),1978-1994,131,227,27740,12867,434,Sep-83,11/146,29.64,2.78,63.9,23,2,Test,Bowling
Sir RJ Hadlee (NZ),1973-1990,86,150,21918,9611,431,Sep-52,15/123,22.29,2.63,50.8,36,9,Test,Bowling
SM Pollock (SA),1995-2008,108,202,24353,9733,421,Jul-87,10/147,23.11,2.39,57.8,16,1,Test,Bowling
JM Anderson (Eng),2003-2015,108,203,24018,12206,417,Jul-43,Nov-71,29.27,3.04,57.5,18,2,Test,Bowling
Harbhajan Singh (India),1998-2015,103,190,28580,13537,417,Aug-84,15/217,32.46,2.84,68.5,25,5,Test,Bowling
Wasim Akram (Pak),1985-2002,104,181,22627,9779,414,7/119,11/110,23.62,2.59,54.6,25,5,Test,Bowling
CEL Ambrose (WI),1988-2000,98,179,22103,8501,405,Aug-45,Nov-84,20.99,2.3,54.5,22,3,Test,Bowling
DW Steyn (SA),2004-2015,80,149,16716,9040,402,Jul-51,Nov-60,22.48,3.24,41.5,25,5,Test,Bowling
M Ntini (SA),1998-2009,101,190,20834,11242,390,Jul-37,13/132,28.82,3.23,53.4,18,4,Test,Bowling
IT Botham (Eng),1977-1992,102,168,21815,10878,383,Aug-34,13/106,28.4,2.99,56.9,27,4,Test,Bowling
MD Marshall (WI),1978-1991,81,151,17584,7876,376,Jul-22,Nov-89,20.94,2.68,46.7,22,4,Test,Bowling
Waqar Younis (Pak),1989-2003,87,154,16224,8788,373,Jul-76,13/135,23.56,3.25,43.4,22,5,Test,Bowling
Imran Khan (Pak),1971-1992,88,142,19458,8258,362,Aug-58,14/116,22.81,2.54,53.7,23,6,Test,Bowling
DL Vettori (ICC/NZ),1997-2014,113,187,28814,12441,362,Jul-87,12/149,34.36,2.59,79.5,20,3,Test,Bowling
DK Lillee (Aus),1971-1984,70,132,18467,8493,355,Jul-83,11/123,23.92,2.75,52,23,7,Test,Bowling
WPUJC Vaas (SL),1994-2009,111,194,23438,10501,355,Jul-71,14/191,29.58,2.68,66,12,2,Test,Bowling
AA Donald (SA),1992-2002,72,129,15519,7344,330,Aug-71,12/139,22.25,2.83,47,20,3,Test,Bowling
RGD Willis (Eng),1971-1984,90,165,17357,8190,325,Aug-43,Sep-92,25.2,2.83,53.4,16,0,Test,Bowling
Z Khan (India),2000-2014,92,165,18785,10247,311,Jul-87,10/149,32.94,3.27,60.4,11,1,Test,Bowling
B Lee (Aus),1999-2008,76,150,16531,9554,310,May-30,9/171,30.81,3.46,53.3,10,0,Test,Bowling
SCJ Broad (Eng),2007-2015,85,155,17672,9035,309,Aug-15,11/121,29.23,3.06,57.1,14,2,Test,Bowling
LR Gibbs (WI),1958-1976,79,148,27115,8989,309,Aug-38,11/157,29.09,1.98,87.7,18,2,Test,Bowling
FS Trueman (Eng),1952-1965,67,127,15178,6625,307,Aug-31,12/119,21.57,2.61,49.4,17,3,Test,Bowling
MG Johnson (Aus),2007-2015,71,136,15557,8551,306,Aug-61,12/127,27.94,3.29,50.8,12,3,Test,Bowling
DL Underwood (Eng),1966-1982,86,151,21862,7674,297,Aug-51,13/71,25.83,2.1,73.6,17,6,Test,Bowling
JH Kallis (ICC/SA),1995-2013,166,272,20232,9535,292,Jun-54,Sep-92,32.65,2.82,69.2,5,0,Test,Bowling
CJ McDermott (Aus),1984-1996,71,124,16586,8332,291,Aug-97,11/157,28.63,3.01,56.9,14,2,Test,Bowling
HMRKB Herath (SL),1999-2015,64,116,18503,8547,288,9/127,14/184,29.67,2.77,64.2,23,5,Test,Bowling
