SR Tendulkar (India),1989-2013,200,329,33,15921,248*,53.78,51,68,14,Test,Batting
RT Ponting (Aus),1995-2012,168,287,29,13378,257,51.85,41,62,17,Test,Batting
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16,Test,Batting
R Dravid (ICC/India),1996-2012,164,286,32,13288,270,52.31,36,63,8,Test,Batting
KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.4,38,52,11,Test,Batting
BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17,Test,Batting
S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15,Test,Batting
DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15,Test,Batting
AR Border (Aus),1978-1994,156,265,44,11174,205,50.56,27,63,11,Test,Batting
SR Waugh (Aus),1985-2004,168,260,46,10927,200,51.06,32,50,22,Test,Batting
SM Gavaskar (India),1971-1987,125,214,16,10122,236*,51.12,34,45,12,Test,Batting
AN Cook (Eng),2006-2015,120,214,12,9593,294,47.49,28,44,7,Test,Batting
GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11,Test,Batting
GA Gooch (Eng),1975-1995,118,215,6,8900,333,42.58,20,46,13,Test,Batting
Younis Khan (Pak),2000-2015,102,182,17,8897,313,53.92,30,29,16,Test,Batting
Javed Miandad (Pak),1976-1993,124,189,21,8832,280*,52.57,23,43,6,Test,Batting
Inzamam-ul-Haq (ICC/Pak),1992-2007,120,200,22,8830,329,49.6,25,46,15,Test,Batting
VVS Laxman (India),1996-2012,134,225,34,8781,281,45.97,17,56,14,Test,Batting
MJ Clarke (Aus),2004-2015,115,198,22,8643,329*,49.1,28,27,9,Test,Batting
ML Hayden (Aus),1994-2009,103,184,14,8625,380,50.73,30,29,14,Test,Batting
V Sehwag (ICC/India),2001-2013,104,180,6,8586,319,49.34,23,32,16,Test,Batting
IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10,Test,Batting
AJ Stewart (Eng),1990-2003,133,235,21,8463,190,39.54,15,45,14,Test,Batting
DI Gower (Eng),1978-1992,117,204,18,8231,215,44.25,18,39,7,Test,Batting
KP Pietersen (Eng),2005-2014,104,181,8,8181,227,47.28,23,35,10,Test,Batting
G Boycott (Eng),1964-1982,108,193,23,8114,246*,47.72,22,42,10,Test,Batting
GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12,Test,Batting
ME Waugh (Aus),1991-2002,128,209,17,8029,153*,41.81,20,47,19,Test,Batting
MA Atherton (Eng),1989-2001,115,212,7,7728,185*,37.69,16,46,20,Test,Batting
JL Langer (Aus),1993-2007,105,182,12,7696,250,45.27,23,30,11,Test,Batting
IR Bell (Eng),2004-2015,116,201,24,7637,235,43.14,22,46,13,Test,Batting
MC Cowdrey (Eng),1954-1975,114,188,15,7624,182,44.06,22,38,9,Test,Batting
AB de Villiers (SA),2004-2015,98,162,16,7606,278*,52.09,21,36,3,Test,Batting
CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,11,Test,Batting
Mohammad Yousuf (Pak),1998-2010,90,156,12,7530,223,52.29,24,33,11,Test,Batting
MA Taylor (Aus),1989-1999,104,186,13,7525,334*,43.49,19,40,5,Test,Batting
CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,19,39,4,Test,Batting
DL Haynes (WI),1978-1994,116,202,25,7487,184,42.29,18,39,10,Test,Batting
DC Boon (Aus),1984-1996,107,190,20,7422,200,43.65,21,32,16,Test,Batting
G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,13,Test,Batting
WR Hammond (Eng),1927-1947,85,140,16,7249,336*,58.45,22,24,4,Test,Batting
CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15,Test,Batting
SC Ganguly (India),1996-2008,113,188,17,7212,239,42.17,16,35,13,Test,Batting
SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,16,Test,Batting
GS Chappell (Aus),1970-1984,87,151,19,7110,247*,53.86,24,31,12,Test,Batting
AJ Strauss (Eng),2004-2012,100,178,6,7037,177,40.91,21,27,15,Test,Batting
DG Bradman (Aus),1928-1948,52,80,10,6996,334,99.94,29,13,7,Test,Batting
ST Jayasuriya (SL),1991-2007,110,188,14,6973,340,40.07,14,31,15,Test,Batting
L Hutton (Eng),1937-1955,79,138,15,6971,364,56.67,19,33,5,Test,Batting
DB Vengsarkar (India),1976-1992,116,185,22,6868,166,42.13,17,35,15,Test,Batting
KF Barrington (Eng),1955-1968,82,131,15,6806,256,58.67,20,35,5,Test,Batting
HM Amla (SA),2004-2015,84,142,13,6770,311*,52.48,23,28,7,Test,Batting
GP Thorpe (Eng),1993-2005,100,179,28,6744,200*,44.66,16,39,12,Test,Batting
PA de Silva (SL),1984-2002,93,159,11,6361,267,42.97,20,22,7,Test,Batting
MEK Hussey (Aus),2005-2013,79,137,16,6235,195,51.52,19,29,12,Test,Batting
RB Kanhai (WI),1957-1974,79,137,6,6227,256,47.53,15,28,7,Test,Batting
M Azharuddin (India),1984-2000,99,147,9,6215,199,45.03,22,21,5,Test,Batting
HH Gibbs (SA),1996-2008,90,154,7,6167,228,41.95,14,26,11,Test,Batting
RN Harvey (Aus),1948-1963,79,137,10,6149,205,48.41,21,24,7,Test,Batting
